Unnamed: 0,ID,Text,Label
1037,5821,bro last ta khub bhalo chilo..,0
2113,2114,"atoi valo jodi toder hindu dhormo tahole ai durghotona holo kno aj jodi era
muslim hoto tahole kaokei morte hotona karon allah bujhe shunei kuraner bani
pathiyeche",0
2590,2591,বা বা বাহ্ কত্তার বাচ্ছা বাহ্,1
1036,1037,"erokom oder niye tana tani Kno korcho?
oder kosto ta bujhle erokom korte Na
ar please kono nongra vasa oder name bolbena nahole god tomake khoma korbena
jara prokrito kolonko ei somajer tader dike nojor dao",0
393,4220,Tui ekta faltu women,0
1128,1129,Mental ranu akta,0
888,4715,Uff darun diye6o sotti😘😘,0
254,255,Kothai go place ta,0
39,40,ওর সঙ্গে যা হয়েছে তার জন্য ওদের জেন ফাঁসি চাই,0
3795,3796,Ora gushti sudho pagol,0
1135,1136,Fokir and bhikari mondol,0
2443,2444,Are ranu to karor barir kajar lok hoar joggota tao nai re vai,0
443,4270,@Debendranath Mallick dhur beta .. Robi tagore ei bebsa kore jomidari calato,0
460,5244,gandu choda mohela😡😡,1
293,294,tui pawar asai ai asich?,0
966,967,"Eisob motherchod Jara posuder thekeo kharap tara ekhno benche ache...ki desh e
bas Kori.!!!!😢😢😢😢😢😢😢😢😢😢...er theke jongoler posu der majhe thaka nirapod",1
2700,2701,আমরা সবাই আল্লাহর চাকর,0
1733,1734,"রাণু মণ্ডলের মেয়েকে ধরে তাপরানো দরকার,

এমন সুবিধীবাদী মপয়েদের কী আর বলবো।",1
40,41,"Nice dada
Kub valo dada",0
2563,2564,drun dada.....$,0
1595,1596,Ekdom thik,0
1771,1772,Fuck kutta india,0
576,4403,Bah Ranu di bah😂,0
132,3959,Kothai,0
1143,5927,karor kono khrp lagba na . jata uchit tula dhoracho . 🤝,0
181,4008,মাগিকে।মারো,1
192,4976,😀😀😀😀😀😀😀😀,0
690,5474,muslim holi ai meye k ma khon korte,1
1037,1038,Hero k dekhe villain action korte chaibe na friendship korte chaibe. 👽👽👽👽👽,0
172,4956,ranu di + roddur roy,0
1021,1022,ভালো থাকবেন 🙏🌷,0
264,265,"Wt da 🖕🏿 ranu mandal,",0
2146,2147,"কে শালা বলছে পেটের দায়ে করছে সব। পেটের দায়ে তাহলে চুরি করবে নাকি? বেশ তো হাত
পা আছে কাজ করে খেতে পারেনা😡",0
726,4553,"Maha pagol bal .. Manus na Sala ta.. Manus hole ok j dar koralo take vul bolto
na",1
2322,2323,Mother chod,1
714,4541,"আরে ও ভাই দাঁড়ান দাঁড়ান তুমি মানসিক চাপের ব্যাপারে কোন কিছু কি বোঝ? আর
শিক্ষা সম্পর্কে কিছু জ্ঞান আছে কি তোমার।আজ ও যখন গান গেয়ে কিছু সম্মান অর্জন
করতে চায় তাতে তোমার এত হিংসে হচ্ছে কেন? আজ ও এই পর্যায়ে আসতে পেরেছে সেটাও
নিজের ট্যালেন্ট.। তুমি কি এইসব ভিডিও বানিয়ে ওকে আবার বদনাম করতে চাইছো? মানুষ
হয়ে যখন জন্মেছ তখন একে অপরকে সম্মান দিতে শিখুন অন্যের ভালো করলে নিজের ফল ভালো
হয়। তাই কখনো কোনদিন কোনভাবে কারো সম্মান এর ব্যাপারে এরকম ছিনিমিনি খেলবেন না,
না হলে আপনি কিন্তু পরে অনেক পস্তাবেন। আজ যে তুমি ওর নামে এইরকম বদনাম ছড়াচ্ছ
তাতে আপনার কি লাভ হচ্ছে বলুন তো, এই আপনাদের মতো লোকেদের জন্য আমাদের দেশ এত
পিছিয়ে রয়েছে। এটা তোমার ভাগ্য যে আমি তোমাকে কমেন্টে গালি দিইনি।",0
3384,3385,Are vai oi to pagli,0
3065,3066,Voter mokhe gan,0
426,5210,বাইয়া তুমার কতা গোলু খুব বাল লাগলো জেমন কুকুর তেমন মুগুর,0
1749,1750,দারুণ ভাই... আয় বুকে আয়... সলিড ভিডিও আমার মনের কথা বলে দিলি ভাই,0
811,812,এই ভিডিয় দেখে আমিও এটাই বলতে চাই বাঃ রানু দি বাঃ,0
1025,1026,"Apnar ei dharoner vidio kokhonoi kora uchit hoini. Uni pagol apni ar ek pagol.
Amra jani unar matha kharap achhe tai bole apni korben .unar bhalo ta procher
korun .",0
1223,1224,@Rafa star আমরা আবার কি করলাম দাদা,0
2932,2933,Khepar mon brindabon.😛👎👎,0
254,4081,Bal chauda,1
959,960,ranu k kikore didi dakey sobai bujina,0
935,5719,এক বাঙালী কোনোদিন অন্য বাঙালীর ভালো দেখতে পারে না।,0
1275,1276,ভাই এসব না দিয়ে পারলে ওদের সাথে কিভাবে যোগাযোগ করা যায় সেই ব্যবস্তাটা করে দিন।,0
977,978,😂😆😆,0
3783,3784,Hut Ranu ...tor ganer golai mute die...,0
905,906,তোমাদের এক্স ভিডিও কবে পাবো...??,0
713,714,Ranur ceharar vitore ciminal vab ase,0
199,4983,😁😁😁😁,0
2070,2071,সালা জুতা কই মারল মিথাবাদি,0
2754,2755,"Bhai o mentally sick, tai or katha nai dhara uchit. R khamoka onake publicity
kano den apnara, apnara to kono general knowledge er meaningful content banano
ucchit.",0
2489,2490,"Tahole tomi ki bol6o
Comment me",0
161,3988,Ba ranu di ba 😂😂😂😂😂😂😂😂,0
1061,1062,Ranu Mandal ta amader matha gandgol karlen• Beiman,0
3455,3456,ওই মাগি কে আমি হলে মেরে ফেলতাম,1
2288,2289,ওনাকে সেখানে পাটিয়ে দিন যেখানে কনডমের কাজ চলে।ওনাকে দেখলে মনে চায়।,1
869,4696,Dada tumi solid diyecho,0
2338,2339,"Bc.. chele Adar Maa bon ka amni kora uchit... Sala katar bachaa😠😠😠😠😠😠 muslim
jat golo harami bachaa😠😠😠😠",1
3277,3278,একদোমঠিকবলেছেনদাদা,0
3268,3269,Magi cudi akdam khanki mal,1
386,5170,আপনার কথা শুনে মন টা ভীন খুখি লেগেছে,0
952,953,😭😭😭😭😭 Oder sobay k fasi howa uchit chilo.,0
635,5419,ata kmn mohila ata boro chala maya thaktay eaisab kare,0
2140,2141,"পশ্চিমবঙ্গ থেকে মমতাজ বেগম কে হঠাতে হবে না হলে এরকম ঘটনা ঘটতেই থাকবে উনি
মুসলিমদেরকে সাজা দেবে না মুসলিমরা উনাকে ভোট দেয়",0
2110,2111,Khub kharap,0
3028,3029,Darun bollen dada,0
1006,1007,"dada satti dom acha. apner...dada ai rakam anak manush acha jara nijaka
anakkichu bhaba..plz ader birudha katha balar jana apner mata manush darkar
.thank you so much",0
239,240,"Akdom carrect bossss,,,,",0
2769,2770,রানু মন্ডলে মুখে জুতোর বারি মার।,0
1584,1585,2 toi pagol,0
2910,2911,sotti vaiii,0
2795,2796,chamatkar dada,0
764,4591,"Ranur jaigai Ami thakle ,,,sobar Choron dhuli Mathai nitam aserbad vebe
,,,,,ameo gaan pochondo Kori gai but amader viral korar Moto keo nei dada😂😂",0
495,496,😂😂🤣🤣😂🤣😂🤣,0
2503,2504,Gudmarani chale ke maaaar,1
2104,2105,Jijer bon ma kaki bad diye genetic problem hote pare,1
777,4604,Chi chi erkm video keu banay??,0
3620,3621,rubbish lady,0
3298,3299,Encounter....chai encounter chai,0
1259,1260,না তুমি কিছু বলবো নি তুমি সত্যিই বলেছ,0
532,5316,chup sala mother chod ke tatte ke bachhi,1
1364,1365,Akdam Thik Dada vikarir Bacha vikari thake juto khule Marun,0
1493,1494,"হায়দ্রাবাদের মতো এনকাউন্টার করতেই
হবে। নচেৎ এক মাসের মধ্যেই ফাঁসি চাই।",0
2813,2814,heeeee,0
208,4992,"oiiii ranu mondol k sobai khun kor re.  
ami toder k⛏⚒🛠🛠🗡🗡🗡🗡🗡💉💉💉💉⚔⚔⚔💣💣💣💣ne jegulo dilam sobay ok ☝️☝️☝️diye khun kor.",0
3321,3322,"আপনি রানুর পিছনে কেন লাগলেন ?রানুর prativa ছিল বলেই আজ ওএইযায়গায় আসতে পেরেছে,
ভাবতে হবে আমাদের সমাজ ব্যবস্থার চরম অবস্থার জন্য এতদিন তার প্রতিভা চাপা ছিল
।রানাঘাটের chakrabarty এবংতার আরো কিছু বন্ধুর সহযোগিতায় রানুর প্রকাশ ঘটেছে
।অন্য দিকে কথায় কিছু অসংলগ্ন ?এটা কটাক্ষ করা অমানবিক! কিছু কুচুটে লোকের অসৎ
উদ্দেশ্য চরিতার্থ করার জন্য আপনি ভিডিও প্রচার করে যাওয়া থেকে বিরত থাকার অনুরোধ
করছি ।ভালো থাকুন ।",0
415,4242,"@Sanjay toi akta khankir cele tor maire codi baincod malayon ar bacca khanikir
cele magir pot tora beshi baincod togo dorme bap a meye re dorson kore re
khankir
cele . Oigola ki dekhos nai ;",1
2429,2430,রানুর পিছনে জিন দা কে লাগিয়ে দিন,0
447,5231,pagol you tuber,0
336,4163,Bockachoda ranu di,0
981,5765,bhalo hoyeche videota,0
828,4655,🤮🤮🤮🤢,0
112,3939,দারুণ,0
2956,2957,"Apni chup korun...valo sujog sobai pai Na..r apni panni Tai eto apnar jala.
Manush matterei vul Kore...apni Jodi real honest hoten tahole 1joner baje
kotha te apni kan diten Na....apni ei sob bole ki proman kortei chaichen
???Kara bolun to loker name kharap montobbo Kore Tara jibone kono din sofol
noi....",0
117,118,এই সব দেখানো উচিত নয়,0
1268,1269,"Valobasle abr take keo khon kore CCC ata k vlobasa bolena ..j vlobasbe se
chaybe j vlobasar manus kivabe happy take ..pagol soumo",0
3561,3562,Sala vikari ranu,0
