ID,Text,Label
73,"bhai help plzz .... ma akelepan ki wajah se hard work nahi kar raha... ma na
english seekh pa raha.. dar lag raha ke friends na honey ki wajah se ma
zindagi me kuch bhi nahi kar paongah",0
5136,esme ek movie honi chaye,0
2769,"Abe oo bistar p Jang karne k liye humane fozz nhi rkhi ha,pit jayenge sale..",0
4423,yesb bs jo chije achhi hoti hai na to jalti hai saali sbb,0
1026,Jaldi,0
2597,"Movie to Puri tatti hai. Jis din dekha usi din bola tha aur ajj shwetabh Bhai
ne bhi Bata Diya..😎😎😎",0
2432,Host chutiya h ek no ki .koi interest hi Ni dikha rhi thi public relations pe,0
2532,Tu kya kehna chataha saf saf bata..Confuse mat kr,0
2887,Tum jaise log satee pratha ko bhi support kar sakte ho,0
5502,"me too ka antidote hai ye right wing ka.....  
proper proper propaganda....",0
1445,sukar h kisi ne iss movie ki reality dikhai,0
1173,"अक्षय खन्ना के लिए फ़िल्म देखी , बाहर आते समय सिर्फ तरुण सलूजा दिमाख में छा गया
.  
कथानक के साथ सब ही किरदार जबरदस्त .",0
2157,One word is enough for movie - Maha chodu movie,0
2026,Bhai ekdum Honest and logical review tha. Kudos to u,0
3303,Kabir gusse par kabu nahi kar sakta yehi uski kamjori hai 😂,0
4873,Sir in sab filmko ko Adhik promote kyu nhi Kiya jaata.,0
568,Kaha,0
1946,Review के नाम पर पूरी कहानी पेल दी 😄😄... मुबारक जी से कराओ movie review,0
5548,aajao saare feminist dislike karne😅,0
4912,Sir ji aapne to mere mind ki ek ek baat bol di is movie ko lekar.,0
3137,"indian kanoon ka bhagwaan hai jhoothi ladies !!!!!! ha ha ha ha ha !!!!!kiuk
jo vo krti hain sab sahi hai !!!!!!!!!! doob k mar jao ,jo innocents ko jail
mein daalte hain !!!",0
790,Agar dekh ke batana hota to tumahara review kyo dekhete be,0
2956,"जनता - मोदी जी GDP गिर चुकी है  
मोदी - मित्रों जिसकी होगी वह खुद ही उठा लेगा  
भक्त - वाह मोदी जी वाह क्या बात कही आपने",0
2675,JAI SHREE RAM.🕉️🕉️🕉️🕉️🙏🙏🙏🙏,0
515,"Bhai koi mujhe bata sakta hai wo background music kabir Singh jab uske bhai ke
bachelor party me entry krta hai tb ek DJ music type lgaya tha mast tha  
I say this is how aisa kuch to words sunai de raha tha usme",0
677,"Are dada 🤪🤣  
🙄😄🤩kitni galti  
Sahid khan .... Kabir khan .....kabir singh",0
4882,"First of all pls movie review ke liye koi Accha Banda rkho. Iss ne kbhi BHI
movie review shi nhi Diya h isse Accha mobark sir hai. Ya koi Accha movie
critics hi rkh do aaj tak walo se reference lelo plss",0
713,"Merko toh khud bhot chutiya movie lagi bhenchod merko mera dost keh raha dekh
bhai bhot achhi movie hai dil chhu liya mera m ne isaliye dekhi movie warna
mai bollywood ki movie nahi dekhta mai hollywood he dekh ta hu",0
2600,"भारतीय सेना में इस तरह के लोगों का कोई काम नहीं है उनको कम से कम सेनाओं से दूर
रखा जाए। अन्यथा सेना के अन्दर एक दूरी बन सकती है ऑफिसर और सैनिकों के बीच।  
जय हिन्द  
वन्दे मातरम्",0
892,"Ekdum sahi kaha !! Aisa koi bhi law nahi hai ki jisme bagair sopoot arrest
Kiya jai. Sirf yeh ek hi law hai 498A ki jisme aisa hota hai. Accha amendment
hua hai, toh yeh sab chid rahe hai. Kuch jalate nahi hai, thode cases se yeh
apna business chala. Go MGTOW bro. Shadi mat karo.",0
524,"Jio bhai, aurat ho k bolti Hun! Feminist faltu Kam karte hai!",0
1818,"@suraj kumaar Tum toh bade literate ho yaar. Kittna Accha comment likhte ho.
Topper laggte ho.",0
1046,"Aap review se jyada faltu baaton pe jyada discuss kar k length bada kar dete h
video ka... aur ha sab aap ki tarah nhi soch sakte h.",0
2806,"Saran Kumar Satnami 'pehle private meh karte the' matlab tu jake check karta
tha na...",0
3953,Bhai gajab review diya thanks,0
